country,total_claims,total_liabilities
5A: All reporting countries,2.8628903978163702e+17,2.46396215214695e+17
5C: Euro area,7177423035000.0,32138247933000.0
AT: Austria,794515309761000.0,710896312139000.0
AU: Australia,2377262558059000.0,2360614966234000.0
BE: Belgium,1455364316040000.0,1393911486474000.0
BH: Bahrain,234965538000000.0,234938851000000.0
BM: Bermuda,14409393680000.0,15583171417000.0
BR: Brazil,1009605190243000.0,946426450695000.0
BS: The Bahamas,417777811954000.0,416727493287000.0
CA: Canada,2615004793903000.0,2239110030193999.8
CH: Switzerland,2723719616965000.0,2834956218079000.0
CL: Chile,199689180048000.0,186421780935000.0
CN: China,494510234074000.0,476783912254000.0
CW: Curaçao,4090459094000.0,4086500000000.0
CY: Cyprus,69516115629999.99,60957430785000.0
DE: Germany,7663647386000000.0,6809274248800000.0
DK: Denmark,1032716373652000.0,907234256053000.0
ES: Spain,1932283914218000.0,1804594116183000.0
FI: Finland,549668293052000.06,576211541627000.0
FR: France,8652971582000000.0,8232993129000000.0
GB: United Kingdom,1.2901432147e+16,1.2438988491e+16
GG: Guernsey,211502659830000.0,207713486436000.0
GR: Greece,269792157859000.03,222583594283000.0
HK: Hong Kong SAR,1806102882224000.0,1781930274998000.0
ID: Indonesia,326999782458000.0,310093066760000.0
IE: Ireland,980923756950000.0,967567853697000.0
IM: Isle of Man,77487415496000.0,76304973767000.0
IN: India,1035882061121000.0,869846697015000.0
IT: Italy,2970234084366000.0,2861899000748000.0
JE: Jersey,297619622911000.0,295844732766000.0
JP: Japan,1.232409853919e+16,1.117066012423e+16
KR: Korea,1596329134489000.0,1462063575421000.0
KY: Cayman Islands,1444671240000000.0,1453701169000000.0
LU: Luxembourg,1371941389502000.0,1246656153522000.0
MO: Macao SAR,200977091329000.0,195045151557000.0
MX: Mexico,242474633443000.0,203448895633000.0
MY: Malaysia,118717912428000.0,126428361893000.0
NL: Netherlands,2591143708908000.0,2459715720248000.0
NO: Norway,241093811598000.0,267371543356000.0
PA: Panama,40836482706000.0,35514346441000.0
PH: Philippines,161887261093000.0,148653250654000.0
PT: Portugal,331455072408000.0,318394407797000.0
RU: Russia,181656006500000.0,171995011500000.0
SA: Saudi Arabia,225605150377000.0,196974939086000.0
SE: Sweden,1251157723233000.0,1155878046592000.0
SG: Singapore,673491136439000.0,690290796174000.0
TR: Türkiye,268437864737000.0,290802057326000.0
TW: Chinese Taipei,1451662306235000.0,1518140118030000.0
US: United States,3865777451012000.0,4639562276096000.0
ZA: South Africa,261603494000000.0,251993061000000.0
