bank_id,bank_name,region,initial_equity,final_equity,equity_loss,status
5493006QMFDDMYWIAM13,"Banco Santander, S.A.",EU,200625793966.4502,0.0,200625793966.4502,Distressed
FR9695005MSX1OYEMGDF,Groupe BPCE,EU,115731920620.15039,94520425244.23767,21211495375.91272,Distressed
K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, S.A.",EU,103085127800.0,84266853939.12378,18818273860.87622,Distressed
R0MUWSFPU8MPRO8K5P83,BNP Paribas,EU,99831955361.3501,81626117685.95633,18205837675.39377,Distressed
XXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXX_OT,EU,85595032522.27856,70054403653.20355,15540628869.075012,Distressed
9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,EU,82736168686.80566,67727823231.958435,15008345454.847229,Distressed
549300NYKK9MWM7GGW15,ING Groep N.V.,EU,80811121721.23999,66160653904.737885,14650467816.502106,Distressed
FR969500TJ5KRTCJQWXH,Groupe Crédit Agricole,EU,73687836488.20972,60357870559.98346,13329965928.226257,Distressed
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",EU,69681483690.19897,57091629121.53015,12589854568.668823,Distressed
549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI",EU,67002116002.59985,54906205731.730225,12095910270.869629,Distressed
2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,EU,66888951565.44995,54813885235.4509,12075066329.999054,Distressed
96950066U5XAAIRCPA78,La Banque Postale,EU,63761177176.74756,52261644001.92871,11499533174.818848,Distressed
7CUNS533WID6K7DGFI87,"CaixaBank, S.A.",EU,55263308137.349976,45321865047.33087,9941443090.019104,Distressed
549300ZK53CNGEEI6A29,J.P. Morgan SE,EU,51554130941.64563,42290235035.86679,9263895905.77884,Distressed
O2RNE8IBXP4R0TD8PU41,Société générale S.A.,EU,46002469424.80005,37749838258.03458,8252631166.765472,Distressed
529900SSGT49ZZSWYE62,Volkswagen Financial Services AG,EU,45359617615.09851,37223866306.44205,8135751308.656464,Distressed
851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,EU,44224688162.91455,36295173141.91095,7929515021.003601,Distressed
NNVPP80YIZGEY2314M97,ICCREA BANCA S.P.A.,EU,38769717915.95007,31829505448.47644,6940212467.473633,Distressed
N1FBEDJ5J41VKZLO2475,Citibank Europe plc,EU,34431351965.642944,28275635867.966507,6155716097.676437,Distressed
7437003B5WFBOIEFY714,OP Osuuskunta,EU,33766046439.125977,27730456792.85289,6035589646.273087,Distressed
